datetime,station,temp,pressure,humidity,windspeed,winddeg,cloudall,weathermain,day_of_week,hour,traffic_level,sea_level,population,population_density,household,household_density,green_space,green_space_area,factory_num,factory_area
2025-03-26 12:00:00,3T,307.26,1003,55,6.46,177,20,Clouds,2,12,3,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-26 15:00:00,3T,304.31,1006,70,6.8,190,24,Clouds,2,15,3,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-26 18:00:00,3T,303.63,1005,74,5.44,196,32,Clouds,2,18,4,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-26 21:00:00,3T,303.04,1004,72,3.04,201,29,Clouds,2,21,2,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 00:00:00,3T,301.78,1006,63,1.75,245,42,Clouds,3,0,1,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 03:00:00,3T,306.29,1007,34,2.65,232,55,Clouds,3,3,1,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 06:00:00,3T,310.33,1004,25,5.16,191,30,Clouds,3,6,3,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 09:00:00,3T,309.5,1002,25,5.35,170,7,Clear,3,9,3,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 12:00:00,3T,304.79,1003,44,6.26,175,7,Clear,3,12,3,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 15:00:00,3T,302.72,1006,62,6.49,181,6,Clear,3,15,3,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 18:00:00,3T,301.94,1004,70,4.18,182,6,Clear,3,18,4,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-27 21:00:00,3T,301.39,1004,67,1.85,236,9,Clear,3,21,2,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-28 00:00:00,3T,299.42,1007,54,3.13,279,45,Clouds,4,0,1,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-28 03:00:00,3T,305.58,1009,26,2.81,259,23,Clouds,4,3,1,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
2025-03-28 06:00:00,3T,310.39,1005,16,2.82,211,16,Clouds,4,6,3,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
