station,datetime,temp,pressure,humidity,windspeed,winddeg,cloudall,weathermain,day_of_week,hour,traffic_level,sea_level,population,population_density,household,household_density,green_space,green_space_area,factory_num,factory_area,lat,lon,pm10,pm2_5,so2,no2,o3,co,month,station_10T,station_11T,station_12T,station_15T,station_3T,station_5T,station_61T,season_Hot Season,season_Rainy Season
10T,2025-04-07 18:00:00,302.85,1011.0,68.0,3.1,202.0,60.0,Clouds,0,18,4.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,501.26,370.82,87.74,227.57,0.0,9292.6,4,1,0,0,0,0,0,0,True,0
10T,2025-04-07 19:00:00,302.69,1011.0,70.33333333333333,2.786666666666666,204.0,73.33333333333333,Clouds,0,19,3.333333333333333,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,442.59,317.75,79.16,186.44,0.0,8010.86,4,1,0,0,0,0,0,0,True,0
10T,2025-04-07 20:00:00,302.53000000000003,1011.0,72.66666666666667,2.4733333333333336,206.0,86.66666666666667,Clouds,0,20,2.666666666666667,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,371.89,258.24,71.53,148.06,0.0,6462.1,4,1,0,0,0,0,0,0,True,0
10T,2025-04-07 21:00:00,302.37,1011.0,75.0,2.16,208.0,100.0,Clouds,0,21,2.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,320.9,214.7,66.76,120.64,0.0,5287.17,4,1,0,0,0,0,0,0,True,0
10T,2025-04-07 22:00:00,302.30333333333334,1011.6666666666666,74.33333333333333,2.4633333333333334,206.33333333333331,100.0,Clouds,0,22,1.6666666666666667,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,294.13,190.72,63.9,101.45,0.0,4699.71,4,1,0,0,0,0,0,0,True,0
10T,2025-04-07 23:00:00,302.2366666666667,1012.3333333333334,73.66666666666667,2.7666666666666666,204.66666666666663,100.0,Clouds,0,23,1.3333333333333337,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,302.43,194.37,67.71,93.22,0.0,4913.33,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 00:00:00,302.17,1013.0,73.0,3.07,203.0,100.0,Clouds,1,0,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,352.77,231.68,82.02,93.22,0.02,6515.5,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 01:00:00,302.76666666666665,1013.3333333333334,66.66666666666667,3.283333333333333,197.66666666666663,100.0,Clouds,1,1,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,427.59,287.87,88.69,105.56,0.33,9399.41,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 02:00:00,303.36333333333334,1013.6666666666666,60.333333333333336,3.4966666666666666,192.33333333333331,100.0,Clouds,1,2,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,503.08,342.86,86.78,156.28,3.58,11001.59,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 03:00:00,303.96,1014.0,54.0,3.71,187.0,100.0,Clouds,1,3,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,662.85,469.09,92.51,293.37,95.84,10894.78,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 04:00:00,304.99,1013.3333333333334,52.66666666666666,3.86,187.66666666666663,99.33333333333331,Clouds,1,4,1.6666666666666663,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,473.23,346.32,65.8,106.93,306.13,4806.52,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 05:00:00,306.02,1012.6666666666666,51.333333333333336,4.01,188.33333333333331,98.66666666666669,Clouds,1,5,2.333333333333333,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,280.61,216.96,51.02,65.12,243.19,3017.43,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 06:00:00,307.05,1012.0,50.0,4.16,189.0,98.0,Clouds,1,6,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,177.18,135.93,48.16,70.6,143.05,2456.67,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 07:00:00,306.68,1011.0,50.333333333333336,4.38,188.66666666666663,98.66666666666669,Clouds,1,7,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,146.37,108.44,57.7,97.33,52.21,2643.59,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 08:00:00,306.31,1010.0,50.66666666666666,4.6000000000000005,188.33333333333331,99.33333333333331,Clouds,1,8,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,167.93,122.11,75.34,130.24,6.08,3337.86,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 09:00:00,305.94,1009.0,51.0,4.82,188.0,100.0,Clouds,1,9,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,192.82,140.96,88.69,142.57,0.56,4005.43,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 10:00:00,305.02,1009.3333333333334,55.0,4.6066666666666665,185.66666666666663,95.0,Clouds,1,10,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,223.54,163.77,103.95,157.65,2.75,4913.33,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 11:00:00,304.1,1009.6666666666666,59.0,4.3933333333333335,183.33333333333331,90.0,Clouds,1,11,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,284.08,208.47,127.79,189.19,0.48,6195.07,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 12:00:00,303.18,1010.0,63.0,4.18,181.0,85.0,Clouds,1,12,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,345.84,254.37,144.96,213.86,0.01,7156.37,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 13:00:00,302.90333333333336,1010.6666666666666,64.66666666666667,4.453333333333333,184.0,87.0,Clouds,1,13,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,423.72,312.63,141.14,233.05,0.0,8544.92,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 14:00:00,302.62666666666667,1011.3333333333334,66.33333333333333,4.726666666666667,187.0,89.0,Clouds,1,14,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,503.72,374.85,131.61,244.02,0.0,10040.28,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 15:00:00,302.35,1012.0,68.0,5.0,190.0,91.0,Clouds,1,15,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,522.24,393.3,119.21,233.05,0.0,10253.91,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 16:00:00,302.21333333333337,1011.6666666666666,69.0,4.98,196.33333333333331,92.66666666666669,Clouds,1,16,3.333333333333333,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,479.79,362.91,101.09,208.38,0.0,9506.23,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 17:00:00,302.07666666666665,1011.3333333333334,70.0,4.96,202.66666666666663,94.33333333333331,Clouds,1,17,3.6666666666666665,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,430.56,322.06,83.92,186.44,0.0,8651.73,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 18:00:00,301.94,1011.0,71.0,4.94,209.0,96.0,Clouds,1,18,4.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,373.8,269.02,64.85,164.51,0.0,7156.37,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 19:00:00,301.83666666666664,1010.3333333333334,71.66666666666667,4.49,209.0,97.33333333333331,Clouds,1,19,3.333333333333333,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,307.98,209.7,51.98,127.49,0.0,5126.95,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 20:00:00,301.7333333333333,1009.6666666666666,72.33333333333333,4.04,209.0,98.66666666666669,Clouds,1,20,2.666666666666667,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,253.56,165.49,47.21,98.71,0.0,3685.0,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 21:00:00,301.63,1009.0,73.0,3.59,209.0,100.0,Clouds,1,21,2.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,210.34,129.77,45.78,79.51,0.0,2857.21,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 22:00:00,301.75333333333333,1009.6666666666666,72.0,3.4066666666666667,203.0,100.0,Clouds,1,22,1.6666666666666667,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,169.24,91.63,46.25,63.06,0.0,2296.45,4,1,0,0,0,0,0,0,True,0
10T,2025-04-08 23:00:00,301.87666666666667,1010.3333333333334,71.0,3.223333333333333,197.0,100.0,Clouds,1,23,1.3333333333333337,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,147.08,67.78,50.07,48.67,0.0,2109.53,4,1,0,0,0,0,0,0,True,0
10T,2025-04-09 00:00:00,302.0,1011.0,70.0,3.04,191.0,100.0,Clouds,2,0,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,144.92,62.91,58.17,40.44,0.05,2456.67,4,1,0,0,0,0,0,0,True,0
10T,2025-04-09 01:00:00,303.1033333333333,1011.3333333333334,64.66666666666667,3.5500000000000003,191.66666666666663,100.0,Clouds,2,1,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,137.83,56.78,59.13,38.73,0.09,2883.91,4,1,0,0,0,0,0,0,True,0
10T,2025-04-09 02:00:00,304.20666666666665,1011.6666666666666,59.333333333333336,4.0600000000000005,192.33333333333331,100.0,Clouds,2,2,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,137.12,56.07,65.8,43.53,0.4,3044.13,4,1,0,0,0,0,0,0,True,0
10T,2025-04-09 03:00:00,305.31,1012.0,54.0,4.57,193.0,100.0,Clouds,2,3,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,147.81,60.23,78.2,55.52,1.0,3017.43,4,1,0,0,0,0,0,0,True,0
10T,2025-04-09 04:00:00,305.8233333333333,1011.0,51.333333333333336,4.640000000000001,194.33333333333331,100.0,Clouds,2,4,1.6666666666666663,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,107.89,47.31,61.99,68.55,1.95,2296.45,4,1,0,0,0,0,0,0,True,0
10T,2025-04-09 05:00:00,306.3366666666667,1010.0,48.66666666666666,4.71,195.66666666666663,100.0,Clouds,2,5,2.333333333333333,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,78.77,36.82,50.55,67.17,3.31,1815.8,4,1,0,0,0,0,0,0,True,0
